                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70722,                  1.014,                0.97764,                0.79044,                0.66468,                0.72474,                0.62319,                0.49653,                0.41826,                0.87815,             2.7974e-05,             2.7974e-05,             2.7974e-05
                      2,                0.65048,                0.75894,                0.95461,                0.79531,                0.67046,                0.74366,                0.64213,                0.49191,                0.39974,                0.87489,              5.228e-05,              5.228e-05,              5.228e-05
                      3,                0.63351,                0.70505,                0.94803,                0.82907,                0.66186,                0.74544,                0.64393,                0.48965,                0.40508,                0.87402,              7.289e-05,              7.289e-05,              7.289e-05
                      4,                0.61548,                0.66463,                0.94212,                0.84739,                0.67788,                0.78154,                0.67063,                0.48763,                  0.385,                0.86821,             6.7368e-05,             6.7368e-05,             6.7368e-05
                      5,                0.59798,                0.63292,                0.93536,                0.85282,                0.71327,                0.80798,                0.69514,                0.49149,                0.38273,                0.87241,             6.1824e-05,             6.1824e-05,             6.1824e-05
                      6,                0.50865,                 0.4407,                0.90291,                0.79423,                0.77918,                0.82671,                0.71419,                0.47522,                 0.3485,                0.86072,              5.628e-05,              5.628e-05,              5.628e-05
                      7,                0.49502,                0.41625,                0.89861,                 0.7764,                0.80918,                0.83808,                0.72911,                0.45998,                0.33351,                 0.8559,             5.0736e-05,             5.0736e-05,             5.0736e-05
                      8,                0.48792,                0.40041,                0.89603,                0.84679,                0.81031,                0.85391,                0.74443,                 0.4643,                0.32237,                0.85695,             4.5192e-05,             4.5192e-05,             4.5192e-05
                      9,                0.47932,                0.38851,                0.89352,                0.88233,                0.80544,                0.87683,                0.75981,                0.46706,                0.31881,                0.85446,             3.9648e-05,             3.9648e-05,             3.9648e-05
                     10,                0.47338,                0.37763,                0.89207,                0.85226,                0.81809,                0.87175,                0.75778,                0.45883,                0.31873,                0.85533,             3.4104e-05,             3.4104e-05,             3.4104e-05
                     11,                0.46774,                 0.3691,                0.89034,                0.85914,                0.83027,                0.86749,                 0.7548,                0.46357,                0.30653,                0.85219,              2.856e-05,              2.856e-05,              2.856e-05
                     12,                0.46216,                0.36133,                0.88814,                0.86065,                0.82881,                0.89641,                0.78488,                0.44187,                0.30282,                0.84926,             2.3016e-05,             2.3016e-05,             2.3016e-05
                     13,                 0.4591,                0.35585,                0.88665,                0.86855,                0.83513,                0.88903,                0.77948,                0.44204,                0.29626,                0.84776,             1.7472e-05,             1.7472e-05,             1.7472e-05
                     14,                0.45487,                0.35091,                0.88604,                0.87472,                0.83204,                0.88324,                0.77636,                 0.4439,                0.30009,                0.85014,             1.1928e-05,             1.1928e-05,             1.1928e-05
                     15,                0.44965,                0.34473,                0.88378,                0.91624,                 0.8109,                0.90532,                0.79575,                0.44112,                 0.2952,                0.84685,              6.384e-06,              6.384e-06,              6.384e-06
